Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic_Mass,Electron Configuration,Common Isotopes,State,Melting_Point,Melting Point (°F),Melting Point (K),Boiling_Point,Density,Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,Ionization_Energy,Valency,Oxidation States,Atomic_Radius,Metallic_Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds,is_metal
Na,Sodium,1807,11,22.99,[Ne] 3s¹,Na-23,solid,97.8,208.04,370.95,883.0,0.968,Silvery-white,High,Soft (knife-cut),High,0.93,5.139,1,1,186.0,Alkali metal,Unknown,Stable,Unknown,Paramagnetic,+1.6×10⁻⁵ cm³/mol,Yellow flame (589 nm),589.0/589.6 nm (D lines),"Nerve impulses, fluids",Highly soluble; bioessential,Unknown,P6_3/mmc,73.87639201807406,"['NaPt2', 'NaP', 'NaHg', 'NaCu', 'NaP5', 'NaAc3', 'NaTe', 'NaLa', 'NaSe2', 'NaGd3', 'NaSn5', 'NaTb3', 'NaC64', 'NaLa3', 'NaO8', 'NaNp3', 'NaC', 'NaAg3', 'NaGa4', 'NaTe3', 'NaTi3', 'NaIn2', 'NaBi', 'NaPt', 'NaLi3', 'NaCl7', 'NaYb3', 'Na', 'NaY3', 'NaN', 'NaC2', 'NaSi6', 'BaNa', 'NaS', 'NaDy3', 'NaTl3', 'NaHg3', 'NaHg2', 'NaNd3', 'NaSn', 'K3Na', 'NaSi34', 'NaMg7', 'NaEr3', 'NaMg15', 'NaPr3', 'NaCe3', 'NaMo3', 'NaZn13', 'NaN3', 'NaF3', 'NaAs', 'NaPd3', 'NaGa3', 'NaAg2', 'NaSc3', 'NaO3', 'NaZn3', 'NaSe', 'NaF', 'NaAu3', 'NaPb3', 'NaCu3', 'NaSr3', 'NaSn2', 'NaMg3', 'NaCl3', 'NaBi3', 'NaTa3', 'NaTl', 'NaPm3', 'NaNb3', 'NaSi68', 'NaNi3', 'NaCo3', 'NaP7', 'NaEu3', 'NaRu3', 'NaAl3', 'NaH', 'NaPu', 'NaIn', 'NaHo3', 'NaGa', 'NaLu3', 'NaP15', 'NaSi', 'NaMg', 'NaTl2', 'NaB', 'NaBr', 'Ba3Na', 'NaO5', 'NaO2', 'NaTm3', 'NaAs2', 'NaCd3', 'NaTm', 'NaGe', 'NaIn3', 'NaTc3', 'NaRe3', 'NaSn3', 'NaPb', 'NaAu2', 'Rb3Na', 'NaCa3', 'NaCl', 'NaSb', 'NaS2', 'NaMg149', 'NaAc', 'NaI']",Metal
Mg,Magnesium,1755,12,24.305,[Ne] 3s²,Mg-24;Mg-25,solid,650.0,1202,923.15,1090.0,1.738,Silvery-white,High,Malleable/ductile,Moderate,1.31,7.646,2,2,160.0,Alkaline earth,Unknown,Stable,Unknown,Paramagnetic,+1.2×10⁻⁵ cm³/mol,Green flame lines,518.4 nm,"Bones, chlorophyll",Soluble salts; hard water,Unknown,P6_3/mmc,44.79899633535127,"['MgTi', 'MgO2', 'MgNb2', 'MgAg2', 'CeMg', 'MgSb', 'MgNi', 'MgF2', 'MgCd2', 'MgSb2', 'MgGa2', 'MgPb2', 'Y2Mg', 'LiMg', 'Li2Mg', 'MgSn2', 'MgHg2', 'MgO', 'La2Mg', 'MgSn', 'Rb2Mg', 'MgAl', 'MgPb', 'MgSi2', 'MgSi', 'MgGa', 'Sr2Mg', 'MgTi2', 'MgSc2', 'MgCd', 'Eu2Mg', 'MgCl2', 'MgGe', 'Ce2Mg', 'MgIn', 'MgGe2', 'YMg', 'CaMg', 'MgIn2', 'Sm2Mg', 'Sr5Mg', 'MgAu2', 'MgZn2', 'MgZn5', 'Ac2Mg', 'Nd2Mg', 'Yb2Mg', 'MgPt2', 'MgBi', 'MgBi2', 'MgZn', 'SrMg', 'Pr2Mg', 'Mg', 'Ca2Mg', 'Pm2Mg']",Metal
Al,Aluminum,1825,13,26.982,[Ne] 3s²3p¹,Al-27,solid,660.32,1220.576,933.47,2519.0,2.7,Silvery-white,High,Ductile/malleable,Moderate,1.61,5.986,3,3,143.0,Post-transition metal,Unknown,Stable,Unknown,Paramagnetic,+1.65×10⁻⁵ cm³/mol,Blue-white arc lines,396.1 nm,None (toxic in excess),Bauxite ore; recyclable,Unknown,Fm-3m,16.471717630914863,"['AlBi', 'PrAl', 'Dy3Al', 'AlRe2', 'Hf3Al', 'Np3Al', 'AlCo3', 'Sc2Al', 'AlCu', 'AlNi3', 'AlBi3', 'AlP', 'AlAu2', 'Mg149Al', 'AlAu4', 'AlB2', 'AlH6', 'SmAl', 'Nd3Al', 'MnAl', 'AlFe3', 'AlC6', 'Lu3Al', 'TiAl', 'Sr2Al', 'AlBr3', 'AlGe3', 'AlI3', 'AlO', 'AlTc2', 'AlAg', 'Zr3Al', 'K3Al', 'Ti3Al', 'Ce3Al', 'AlOs', 'AlPt', 'Nb2Al', 'AlAu', 'AlAu3', 'AlCl3', 'Zr2Al', 'AlC3', 'Yb3Al', 'CeAl', 'Sm3Al', 'AlAs', 'AlPt3', 'Pr3Al', 'ScAl', 'AlRh', 'AlCr2', 'Ti2Al', 'AlH3', 'DyAl', 'AlPb3', 'LiAl', 'AlF3', 'Y3Al', 'La3Al', 'Pu3Al', 'AlGa3', 'AlPd', 'AlIr', 'AlRh3', 'Hf2Al', 'AlTc3', 'AlCo', 'Al', 'Pa3Al', 'AlFe', 'Tb3Al', 'YAl', 'Mg3Al', 'Mg7Al', 'AlRu', 'AlCd3', 'AlO3', 'Tm3Al', 'AlAg4', 'TbAl', 'AlAg3', 'AlCo4', 'Sc3Al', 'AlMo3', 'Nb3Al', 'RbAl', 'AlNi', 'AlCu4', 'AlCu3', 'NdAl', 'AlRe', 'AlSn', 'Li3Al', 'Gd3Al', 'AlNi2', 'Rb3Al', 'AlV3', 'AlPd3', 'AlSi', 'AlSb', 'Pm3Al', 'Th2Al', 'AlFe2', 'SrAl', 'Mg15Al', 'AlN', 'MgAl', 'Ta2Al', 'GdAl']",Metal
Si,Silicon,1823,14,28.085,[Ne] 3s²3p²,Si-28;Si-29,solid,1414.0,2577.2,1687.15,3265.0,2.329,Gray metallic luster,Moderate (semiconductor),Hard/brittle,Low,1.9,8.152,4,+4;-4,117.0,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-3.6×10⁻⁶ cm³/mol,Violet flame lines,251.6 nm,Plant structure (silica),Insoluble; sand/quartz,"Amorphous, crystalline (diamond cubic)",Fd-3m,40.32952684741405,"['Fe2Si', 'SiSe2', 'Lu3Si', 'SiS4', 'Mn3Si', 'U3Si', 'SiH2', 'SiPt2', 'Fe3Si', 'SiRh3', 'SiPb3', 'SiRh', 'Si', 'SiO4', 'SiBr3', 'SiC2', 'SiS2', 'SiAs3', 'SiC3', 'MgSi', 'Mg2Si', 'SiH8', 'BaSi', 'Be3Si', 'Cu3Si', 'Rb3Si', 'SiGe3', 'Tl3Si', 'Zn3Si', 'SiHg3', 'SiO2', 'SiPt3', 'SiAs']",Non-metal
P,Phosphorus,1669,15,30.974,[Ne] 3s²3p³,P-31,solid,44.15,111.5,317.3,1854.805,1.553738,White (waxy); red (powder),Low,Brittle,High (white),2.19,10.487,"3,5",+5;+3;-3,110.0,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-1.1×10⁻⁵ cm³/mol,Green glow (chemilum.),253.6 nm,"Bones, DNA, ATP",Phosphates cycle; eutrophication,"White, red, black, violet",P2/c,1935.1232668474006,"['NaP', 'PPd3', 'ThP', 'MgP', 'MnP', 'Cd2P', 'TlP', 'Ag3P', 'TbP', 'PI2', 'PPt3', 'Bi3P', 'NbP', 'PRh2', 'InP', 'TaP', 'Cd3P', 'AlP', 'TmP', 'Cu3P', 'Co2P', 'Si3P', 'Fe2P', 'KP', 'Nb2P', 'PSe', 'FeP', 'Np3P', 'PCl3', 'Zn3P', 'LuP', 'Mn2P', 'B13P', 'NdP', 'PRu', 'GeP', 'PuP', 'PO3', 'BP', 'PPd6', 'PO2', 'PO4', 'SrP', 'PPb', 'CoP', 'PBr3', 'PPt', 'PIr2', 'DyP', 'Mg2P', 'Fe4P', 'Ta2P', 'Hg3P', 'NpP', 'Ta3P', 'PF5', 'PRu2', 'PN2', 'Al3P', 'Eu3P', 'Ga3P', 'PAu3', 'Na3P', 'LiP', 'Ni2P', 'Sn3P', 'PH3', 'ScP', 'PrP', 'Ho3P', 'PI3', 'PBr5', 'B6P', 'GaP', 'Li3P', 'Re2P', 'TiP', 'PBr', 'SnP', 'Mg149P', 'Sr3P', 'K3P', 'MoP', 'LaP', 'Hf2P', 'Ge3P', 'Zn2P', 'CeP', 'CaP', 'PBr2', 'Mo12P', 'ZnP', 'YP', 'RbP', 'Rb3P', 'Cr2P', 'HoP', 'HfP', 'NiP', 'V2P', 'Y3P', 'SiP', 'VP', 'Sc3P', 'UP', 'AsP', 'PS', 'P', 'EuP', 'PW', 'Tm3P', 'ZrP', 'SmP', 'Mo3P', 'PPd4', 'ErP', 'PW3', 'Rb2P', 'PBr7', 'PCl5', 'GdP', 'Ti2P', 'CrP', 'PPb3', 'Er3P', 'Yb3P']",Non-metal
S,Sulfur,Ancient,16,32.06,[Ne] 3s²3p⁴,S-32;S-34,solid,115.21,239.38,388.36,444.61,0.778476,Yellow crystals,Low,Brittle,Moderate,2.58,10.36,"2,4,6",+6;+4;-2,104.0,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-6.2×10⁻⁶ cm³/mol,Blue flame (SO₂),265.0 nm,Proteins (cysteine),Acid rain (SO₂); volcanic,"Rhombic, monoclinic, plastic, cyclo-S₈",Fddd,887.5956414230244,"['Li2S', 'Ta6S', 'V3S', 'SN', 'LaS', 'PtS', 'As2S', 'SO6', 'SO3', 'Cu2S', 'KS', 'Ag2S', 'AsS', 'NaS', 'Th3S', 'PmS', 'CoS', 'CS', 'LiS', 'Tl3S', 'SBr3', 'Pd4S', 'CeS', 'ZnS', 'PbS', 'SmS', 'PS', 'YS', 'TlS', 'Tl2S', 'SF6', 'CuS', 'Ni2S', 'P2S', 'Ni3S', 'ZrS', 'EuS', 'InS', 'FeS', 'CdS', 'HgS', 'Bi2S', 'SO4', 'SF4', 'S', 'H3S', 'RbS', 'HoS', 'BiS', 'Cd2S', 'SO5', 'H2S']",Non-metal
Cl,Chlorine,1774,17,35.45,[Ne] 3s²3p⁵,Cl-35;Cl-37,gas,-101.5,-150.7,171.65,-34.04,0.003214,Yellow-green gas,Low,Unknown,High,3.16,12.968,1,-1;+1;+5;+7,99.0,Halogen,Unknown,Stable,Unknown,Diamagnetic,-4.0×10⁻⁸ cm³/mol,Greenish-yellow,134.2 nm,Disinfectant; HCl,Volatile; forms HCl,Diatomic (Cl₂),,463.08071571561226,"['CuCl', 'AgCl', 'C9Cl', 'PdSCl', 'Pr3Cl', 'SeCl', 'Cu2ClO3', 'TeRhCl', 'Te2Cl', 'PuCl', 'NClO2', 'N3Cl', 'Eu2PCl', 'BaN3Cl', 'Mg149Cl', 'NaClO4', 'LaClO', 'Cs2BrCl', 'CCl', 'Pt3Cl', 'YCl', 'SrClF', 'ClO3', 'BCl', 'CrCl', 'Na2Cl', 'InCl', 'Ce3Cl', 'BiClO', 'ICl', 'SrHCl', 'Zr3Cl', 'In5Se5Cl', 'GdClO', 'CuSCl', 'N4Cl', 'PuClO', 'AuCl', 'ClF5', 'BaClO3', 'KClO3', 'Co3Cl', 'CNCl', 'ClO5', 'PrClO2', 'HgCl', 'NdClO', 'CsCl', 'LaTeCl', 'ClO2', 'HoClO2', 'Os3Cl', 'DyClO2', 'YClO', 'NaClO3', 'Hg3Cl', 'PrTeCl', 'LaCl', 'CaClF', 'Nd3Cl', 'In3Cl', 'BaHCl', 'TbClO2', 'ScCl', 'ThNCl', 'CaHCl', 'Y2ClO2', 'ClO6', 'PbClF', 'AgClO2', 'C16Cl', 'BrCl', 'YCCl', 'AgClO4', 'Ac3Cl', 'KCl', 'SnCl', 'Cl(OF)2', 'C3NCl', 'GdClO2', 'In5S5Cl', 'Au3Cl', 'SmClO2', 'Mg16Al12Cl', 'ZrCl', 'SmClO', 'UNCl', 'TlCl', 'H5ClO6', 'AuClO2', 'CeTeCl', 'Th3Cl', 'NdClO2', 'SNCl', 'Ru3Cl', 'Bi3ClO4', 'GdCl', 'FeCl', 'CuClO2', 'CeClO', 'S3Cl', 'NiCl', 'ClF3', 'Ba2P7Cl', 'CsClO3', 'Ag3Cl', 'EuHCl', 'H3NCl', 'HCl', 'ClF', 'H7ClO3', 'SCl', 'PrClO', 'Sb4ClO6', 'La3Cl', 'Na3Cl', 'LaClO2', 'TbCl', 'NdTeCl', 'ErClO', 'OsClF8', 'N2Cl', 'ThCl', 'LiCl', 'Tl4Br3Cl', 'EuClO2', 'BaClF', 'U3Cl', 'NCl', 'NaCl', 'RbCl', 'YClO2', 'CN6Cl', 'Tl3Cl', 'Cu3Cl', 'ClO']",Non-metal
Ar,Argon,1894,18,39.948,[Ne] 3s²3p⁶,Ar-40;Ar-36,gas,-189.35,-308.83,83.79999999999998,-185.85,0.001784,Colorless gas,Unknown,Unknown,Very low,1.99,15.76,0,0,71.0,Noble gas,Low (Ar-39),Stable (Ar-40),Ar-39: 269 years,Diamagnetic,-1.94×10⁻⁸ cm³/mol,Violet glow discharge,811.5 nm,Unknown,Inert,Monatomic,Fm-3m,38.56579000820011,['Ar'],Non-metal
K,Potassium,1807,19,39.098,[Ar] 4s¹,K-39;K-40,solid,63.38,146.084,336.53,759.0,0.862,Silvery-white,High,Soft,High,0.82,4.341,1,1,231.0,Alkali metal,Low (K-40),K-40: 1.25×10⁹ years,Unknown,Paramagnetic,+2.1×10⁻⁵ cm³/mol,Violet flame (404 nm),766.5/769.9 nm,Nerve/muscle function,Highly soluble,Unknown,Cmce,612.2311625848381,"['KH', 'KC8', 'KS', 'KMg7', 'KNa2', 'KBr', 'KS3', 'KCd13', 'KBa3', 'KP15', 'KBr3', 'KLu', 'KNd3', 'KP', 'KC2', 'KTe', 'KBi', 'KTl3', 'KTl', 'KF2', 'KC60', 'KPb3', 'KAg2', 'KYb3', 'KSe', 'KF3', 'KSb', 'KHg3', 'KPm', 'KC', 'KGe', 'KBi2F7', 'KI', 'KB', 'Cs3K', 'KNO3', 'KMg15', 'KGa', 'KPr3', 'KSm', 'KSn', 'KO3', 'CsK', 'KPt', 'KSb2', 'KNd', 'KPb', 'KO2', 'KIO3', 'KZn13', 'KSm3', 'KHg6', 'KFe', 'KTh3', 'KU3', 'KF', 'KSn3', 'KEu3', 'KCl', 'KSi', 'KY', 'K', 'KSb3', 'KRb3', 'KHg11', 'KLi3', 'KN2', 'KAu2', 'KIn3', 'KCu7S4', 'KN', 'KTm', 'KBi3', 'KMg3', 'KCN', 'KHg2', 'KPb2', 'KIn4', 'KC10', 'KAs', 'KBi2', 'KB6', 'KPu', 'KSr3', 'KLa3', 'KCl3', 'KCa3', 'KSe3', 'KAc3', 'KSn2', 'KPt3', 'KTl2', 'KPm3', 'KCd3', 'KN3', 'KAu5', 'KCo', 'KF5', 'KCe3', 'KH3', 'KTe3', 'KHg', 'KGa3']",Metal
Ca,Calcium,Ancient,20,40.078,[Ar] 4s²,Ca-40;Ca-44,solid,842.0,1547.6,1115.15,1484.0,1.55,Silvery-white,High,Malleable,Moderate,1.0,6.113,2,2,197.0,Alkaline earth,Unknown,Stable,Unknown,Paramagnetic,+1.8×10⁻⁵ cm³/mol,Orange-red flame,422.7 nm,"Bones, signaling",Carbonates; hard water,Unknown,Fm-3m,43.36096382607296,"['CaGe2', 'CaGa2', 'CaB4', 'CaF', 'CaC6', 'CaTb3', 'CaH3', 'CaHg3', 'CaMg3', 'CaCd3', 'CaH2', 'Rb3Ca', 'CaO2', 'CaTl3', 'CaMg15', 'CaN2', 'CaAg3', 'CaZn3', 'CaC4', 'CaPt2', 'BaCa', 'CaB2', 'CaSe', 'CaGa4', 'CaBr2', 'CaLa', 'CaCd2', 'CaBi3', 'CaHg', 'CaYb3', 'CaSi2', 'CaPr3', 'CaHg11', 'CaN', 'CaNi3', 'Cs3Ca', 'K3Ca', 'CaF2', 'CaEu3', 'CaSi3', 'CaMg7', 'CaPd', 'Li2Ca', 'CaMn28', 'CaMg5', 'CaOs3', 'CaPm3', 'CaSm3', 'CaIn2', 'CaBr', 'CaPt5', 'Li3Ca', 'CaMg149', 'CaO', 'CaNp', 'Ca', 'Na3Ca', 'CaAs', 'CaNi', 'CaNd3', 'CaPd5', 'CaSb2', 'CaDy3', 'CaCu', 'CaMg2', 'CaO10', 'CaIn', 'CaAu3', 'CaMg', 'CaB6', 'CaHo3', 'CaP', 'CaAu5', 'CaNi5', 'CaAl4', 'CaPd2', 'CaC2', 'CaI2', 'CaAs3', 'Sr3Ca', 'CaCu5', 'CaGe3', 'CaZn5', 'CaS', 'CaCl2', 'CaF3', 'CaAc3', 'CaHg2', 'Ba3Ca', 'CaZn2', 'CaI', 'CaTl', 'CaZn', 'SrCa', 'CaSn3', 'CaPb', 'CaC', 'CaTe', 'CaZn11', 'CaCd', 'CaP3', 'CaPb3']",Metal
Sc,Scandium,1879,21,44.956,[Ar] 3d¹4s²,Sc-45,solid,1541.0,2805.8,1814.15,2836.0,2.985,Silvery-white,High,Ductile,Moderate,1.36,6.561,3,3,162.0,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+2.8×10⁻⁵ cm³/mol,Blue-white lines,390.8 nm,Unknown,Low solubility,Unknown,P6_3/mmc,50.02447391787033,"['ScH2', 'ScIr2', 'Yb3Sc', 'HfSc', 'ScZn2', 'ScCl3', 'ScAg3', 'ScPb3', 'ScNb', 'ScNi3', 'Sm3Sc', 'ScIn3', 'ScAg', 'ScAg4', 'ScPt3', 'ScPd', 'ScCu2', 'ScBi3', 'ScO', 'ScZn6', 'ScCd3', 'ScC', 'ScSe2', 'ScAl3', 'ScAs', 'ScBi', 'Mg7Sc', 'ScMn2', 'Tm3Sc', 'ScInP2', 'ScSb3', 'ScSi', 'Ho3Sc', 'ScRh', 'ScO3', 'ScOs3', 'ScIn2', 'ScRu', 'ScAu3', 'Ac3Sc', 'ScS', 'Sr3Sc', 'Mg149Sc', 'ScRh3', 'ScIn', 'Sc', 'ScOs2', 'ScGa', 'ScSn2', 'ScAu2', 'ScBr3', 'ScTe3', 'ScS2', 'ScFe2', 'Mg4Sc', 'Tb3Sc', 'Mg2Sc', 'ScCl', 'ScTc2', 'Na3Sc', 'Hf3Sc', 'ScBe13', 'ScB12', 'Pm3Sc', 'ScAl', 'ScPd3', 'La3Sc', 'ScTe', 'Mg3Sc', 'ScGa3', 'ScP', 'ScCd', 'TbSc', 'ScTc3', 'ScHg3', 'ScZn12', 'K3Sc', 'ScGe', 'Lu3Sc', 'ScGa2', 'ScCu', 'MgSc', 'ScO2', 'ScNi', 'ScBr2', 'ScC2', 'ScCd7', 'ScAg2', 'ZrSc', 'Pr3Sc', 'ScRe2', 'ScRu2', 'ScIr3', 'ScNi2', 'Hf5Sc', 'ScZn3', 'ScSn', 'ThSc', 'ScAu', 'ScCo', 'ScH3', 'ScCu3', 'ScRu3', 'ScMo3O8', 'ScI2', 'ScIr', 'ScHg', 'ScSn3', 'ScBe5', 'Sc(NF2)3', 'Pu3Sc', 'ScIn3P4', 'ScNi5', 'Nd3Sc', 'ScGe2', 'ScZn', 'ScCo2', 'ScAl2', 'ScHO2', 'ScB2', 'Ce3Sc', 'Li3Sc', 'ScSe', 'ScFe3', 'YSc', 'ScAu4', 'ScN', 'Zr9ScO20', 'Zr3Sc', 'ScPt', 'ScSb', 'Mg5Sc', 'ScF3', 'ScSi2', 'ScI3', 'Er3ScS6']",Metal
Ti,Titanium,1791,22,47.867,[Ar] 3d²4s²,Ti-48;Ti-47,solid,1668.0,3034.4,1941.15,3287.0,4.506,Silvery-gray,High,Ductile/hard,Low,1.54,6.828,4,+4;+3;+2,147.0,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+1.8×10⁻⁴ cm³/mol,Violet lines,399.0 nm,"Aerospace, implants",Corrosion-resistant,"α (hcp), β (bcc)",P6/mmm,51.05915967771039,"['MgTi', 'TiNi', 'U2Ti', 'TiN2', 'TiTe', 'Mg15Ti', 'TiCl2', 'TiAu', 'TiOs2', 'TiPb3', 'Sr3Ti', 'Mg2Ti', 'TiI4', 'TiI2', 'TiAu3', 'TiAu2', 'Na3Ti', 'TiAl3', 'Sm3Ti', 'TiN', 'TiMn2', 'TiAs', 'TiAl', 'TiPt3', 'TiO2', 'TiHg', 'PaTi', 'TiIn', 'TiCu', 'TiF3', 'TiCr2', 'TiCo2', 'TiPd', 'TiS', 'TiCd', 'TiF6', 'TiSb3', 'TiCl3', 'TiSb2', 'TiPt8', 'TiO', 'TiRh', 'TiBe3', 'TiPd2', 'TiP3', 'TiZn2', 'TiSe2', 'Mg7Ti', 'ZrTi', 'TiCl4', 'TiBr2', 'Mg3Ti', 'U3Ti', 'TiIr', 'TiZn3', 'Rb3Ti', 'TiCo3', 'La3Ti', 'TiF4', 'Yb3Ti', 'TiFe2', 'TiP', 'TiPd3', 'TiH2', 'TiBe12', 'Th3Ti', 'TiCd3', 'Mg149Ti', 'TiB2', 'HfTi', 'TiNi3', 'TiBr3', 'TiGa2', 'Ti', 'Ac3Ti', 'Eu3Ti', 'TiGa', 'TiI3', 'TiBr4', 'TiSi2', 'TiSe', 'TiTe2', 'Mg5Ti', 'TiH', 'TiAs3', 'UTi', 'TiSb', 'TiAl2', 'K3Ti', 'TiI', 'Nd3Ti', 'TiGa3', 'TiS3', 'TiFe4', 'TiAg', 'TiS2']",Metal
V,Vanadium,1801,23,50.942,[Ar] 3d³4s²,V-51;V-50,solid,1910.0,3470,2183.15,3407.0,6.11,Silvery-gray,High,Ductile,Moderate,1.63,6.746,5,+5;+4;+3;+2,134.0,Transition metal,Low (V-50),Stable,Unknown,Paramagnetic,+2.6×10⁻⁴ cm³/mol,Green/blue lines,411.2 nm,"Catalyst, steel alloy",Low solubility,Unknown,Im-3m,13.263780153478194,"['VRh', 'VSi2', 'VPd3', 'VSb', 'Mg15V', 'Mg7V', 'VC', 'VTe', 'Be12V', 'VF4', 'Be2V', 'VN', 'VFe', 'VCo', 'MnV', 'VS', 'VO', 'Yb3V', 'VTe2', 'VRu3', 'VP4', 'VSe2', 'VP2', 'VGe3', 'VF2', 'VC3', 'VSn3', 'Th3V', 'Mg6V', 'PaV', 'VOs', 'VSe', 'VBi2', 'VMo', 'VI2', 'Al3V', 'VIn3', 'Mg149V', 'VNi3', 'VB2', 'VPt3', 'VIr3', 'VS4', 'VGe2', 'VAs2', 'VGa', 'Tl3V', 'VHg3', 'VO3', 'VCl4', 'Tm3V', 'VSb2', 'Ca3V', 'Zr3V', 'Sc3V', 'V', 'Eu3V', 'VRh3', 'VNi', 'VCl2', 'VCo4', 'VTc', 'K3V', 'VRu', 'VPd4', 'VCo3', 'VBr2', 'VCl5', 'VS2', 'VP', 'VCl3', 'Mg3V', 'VH', 'VIr', 'Ac3V', 'VAu3', 'VBr3', 'VZn3', 'VF3', 'VPt', 'VPt8', 'LaV', 'VF5', 'VAu', 'VI3', 'VI', 'VO2']",Metal
Cr,Chromium,1797,24,51.996,[Ar] 3d⁵4s¹,Cr-52;Cr-53,solid,1907.0,3464.6,2180.15,2671.0,7.15,Silvery-blue,High,Hard/brittle,Low,1.66,6.767,"3,6",+3;+6;+2,128.0,Transition metal,Unknown,Stable,Unknown,Antiferromagnetic,+3.2×10⁻⁴ cm³/mol,Red flame (CrO),425.4 nm,"Stainless steel, plating",Hexavalent toxic,Unknown,Im-3m,26.16895772559837,"['Mg15Cr', 'Cr', 'CrIr3', 'CrRh3', 'Be2Cr', 'CrIr', 'CrB', 'CrP4', 'CrS', 'Mg7Cr', 'MgCr', 'CrRe3', 'Sm3Cr', 'Be12Cr', 'CrB2', 'Na3Cr', 'CrTe3', 'CrRu', 'CrAg3', 'CrIn3', 'CrPb2', 'Li3Cr', 'CrCl', 'Al3Cr', 'CrI3', 'Ce3Cr', 'CrFe3', 'Yb3Cr', 'CrP2', 'Nd3Cr', 'CrSi', 'CrCo3', 'CrN2', 'CrAs', 'CrRh', 'Rb3Cr', 'CrC', 'CrSb', 'CrF3', 'CrI2', 'CrMo3', 'Tl3Cr', 'Ac3Cr', 'CrF6', 'CrPt', 'CrAs2', 'CrF5', 'CrF4', 'CrPd', 'CrCl3', 'Eu3Cr', 'CrH3', 'CrPt4', 'CrSe', 'CrF2', 'CrNi3', 'CrTe2', 'CrGe', 'CrS2', 'CrO2', 'CrPd3', 'CrNi', 'CrO3', 'CrSb2', 'Pm3Cr', 'Th3Cr', 'CrBr3', 'Nb3Cr', 'CrPt3', 'CrHg3', 'CrSe2', 'Pr3Cr', 'Mg149Cr', 'Mg3Cr', 'CrAu', 'Zn3Cr', 'CrH', 'CrBr2', 'CrN', 'CrO', 'Sr3Cr', 'CrCo', 'CrSi2', 'CrTe', 'K3Cr', 'CrGa', 'CrBi']",Metal
Mn,Manganese,1774,25,54.938,[Ar] 3d⁵4s²,Mn-55,solid,1246.0,2274.8,1519.15,2061.0,7.21,Silvery-gray,Moderate,Brittle,Moderate,1.55,7.434,"2,3,4,7",+2;+4;+7,127.0,Transition metal,Low (Mn-53),Stable,Unknown,Paramagnetic,+1.7×10⁻³ cm³/mol,Pink (MnO₄⁻),403.1 nm,"Enzymes, steel",Leaches in acid,"α, β, γ, δ",I-43m,377.65780883545983,"['Zr3Mn', 'MnP', 'MnPd', 'MnSe', 'MnB4', 'MnPt', 'MnRu3', 'MnS', 'MnF3', 'MnGa4', 'MnFe3', 'Tb4Mn', 'MnH', 'MnNi', 'MnSn', 'MnTe2', 'Dy4Mn', 'MnO2', 'Mg15Mn', 'MnSn3', 'MnNi3', 'MnGe3', 'MnHg', 'MnAl', 'MnV', 'MnB', 'MnO', 'MnAl12', 'HfMn', 'MnSi', 'MnFe', 'Yb3Mn', 'Rb3Mn', 'MnAu3', 'MnZn', 'Mg7Mn', 'MnF2', 'Pu4Mn', 'MnSe2', 'Ho4Mn', 'MnTe', 'MnPt2', 'MnHg3', 'MnCl2', 'MnPt3', 'MnIn3', 'Mg149Mn', 'MnRu', 'MnSb', 'MnB2', 'MnTl3', 'MnBe2', 'MnP4', 'MnGe', 'MnAu2', 'MnIr3', 'MnOs3', 'MnN', 'Zr4Mn', 'MnCo', 'Hf2Mn', 'MnO4', 'MnRh', 'MnZn13', 'Na3Mn', 'MnS2', 'K3Mn', 'MnGe2', 'MnV3', 'MnCu3', 'Mn', 'Mg3Mn', 'MnAu4', 'MnBe12', 'MnBr2', 'U6Mn', 'MnCo3', 'LiMn', 'MnZn3', 'MnCd3', 'MnGa', 'MnMo3', 'Ca3Mn', 'MnSn2', 'MnI2', 'MnBe3', 'MnF4', 'MnAs', 'MnBi', 'MnAu', 'MnSb4', 'MnIr', 'MnBi3', 'MnPd3', 'Ba3Mn']",Metal
